model,ensemble_size,hidden_layers,hidden_units,weight_decay,data_noise,epochs,optimizer,loss_fn,learning_rate,ENCE,GNLLL,RMSE
batch,10,6,32,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,2.7252727349599204,7.011087735493978
batch,10,6,32,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,2.5679689248402915,7.575102647145589
batch,10,6,64,0.01,,1000,Adam,GaussianNLLLoss,0.001,,3.4153006076812744,6.880645116170247
batch,10,6,64,0.001,,1000,Adam,GaussianNLLLoss,0.001,,2.821858008702596,7.008576393127441
batch,10,6,64,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,2.939096689224243,6.862112522125244
batch,10,6,64,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,2.8154853185017905,6.710562705993652
batch,10,6,128,0.01,,1000,Adam,GaussianNLLLoss,0.001,,3.3996129035949707,6.188168048858643
batch,10,6,128,0.001,,1000,Adam,GaussianNLLLoss,0.001,,4.010448773701985,6.306803544362386
batch,10,6,128,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,5.479944467544556,6.482808907826741
batch,10,6,128,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,3.784769296646118,6.059957822163899
batch,10,7,32,0.01,,1000,Adam,GaussianNLLLoss,0.001,,2.780195871988932,7.411747296651204
batch,10,7,32,0.001,,1000,Adam,GaussianNLLLoss,0.001,,2.714581251144409,7.547669728597005
batch,10,7,32,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,2.510620673497518,7.196946303049724
batch,10,7,32,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,2.6167186896006265,7.32472546895345
batch,10,7,64,0.01,,1000,Adam,GaussianNLLLoss,0.001,,3.0261267820994058,6.47495969136556
batch,10,7,64,0.001,,1000,Adam,GaussianNLLLoss,0.001,,3.121342182159424,6.850729306538899
batch,10,7,64,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,2.9418680667877197,6.8100159962972
batch,10,7,64,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,3.010820229848226,6.716983954111735
batch,10,7,128,0.01,,1000,Adam,GaussianNLLLoss,0.001,,5.550202449162801,6.136785666147868
batch,10,7,128,0.001,,1000,Adam,GaussianNLLLoss,0.001,,3.9286460081736245,6.07426389058431
batch,10,7,128,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,3.652743101119995,5.961671352386475
batch,10,7,128,1e-05,,1000,Adam,GaussianNLLLoss,0.001,,4.162484645843506,6.072133223215739
batch,10,8,32,0.01,,1000,Adam,GaussianNLLLoss,0.001,,2.5753985246022544,7.240904013315837
batch,10,8,32,0.001,,1000,Adam,GaussianNLLLoss,0.001,,2.6890111764272056,7.2058939933776855
batch,10,8,32,0.0001,,1000,Adam,GaussianNLLLoss,0.001,,2.6107265949249268,7.088624318440755
