model,ensemble_size,hidden_layers,hidden_units,weight_decay,data_noise,epochs,optimizer,loss_fn,learning_rate,PICP,MPIW,GNLLL,ensemble_GNLLL,RMSE,ensemble_RMSE,train_time
anchored_batch,16,2,64,,0.01,434,Adam,GaussianNLLLoss,0.001,0.9539473684210527,16.383593131145087,1.9441371815545219,"tensor(1.9346, device='cuda:0')",4.242120549792335,4.206222556886219,179.96156787872314
anchored_batch,16,2,64,,0.0001,145,Adam,GaussianNLLLoss,0.001,0.9558823529411765,16.378640449453066,1.933173832439241,"tensor(1.9222, device='cuda:0')",4.202544927597046,4.162360917954218,70.48526167869568
anchored_batch,16,2,64,,1e-06,56,Adam,GaussianNLLLoss,0.001,0.9562693498452013,16.624840656670255,1.9311398097446986,"tensor(1.9189, device='cuda:0')",4.1978934719449,4.1506104242234,37.50436019897461
anchored_batch,16,2,64,,0.01,1195,Adam,GaussianNLLLoss,0.001,0.9651702786377709,19.714462303893853,2.147507917313349,"tensor(2.0765, device='cuda:0')",5.216942333039784,4.927681991032192,441.0106270313263
anchored_batch,16,2,64,,0.0001,214,Adam,GaussianNLLLoss,0.001,0.9613003095975232,18.582438300637637,2.10067317599342,"tensor(2.0441, device='cuda:0')",5.018554573967343,4.798529170808338,93.96261143684387
anchored_batch,16,2,64,,1e-06,111,Adam,GaussianNLLLoss,0.001,0.9632352941176471,18.485716734139174,2.098756438209897,"tensor(2.0406, device='cuda:0')",4.998476391746884,4.779195013500395,57.19203996658325
anchored_batch,16,2,64,,0.01,1040,Adam,GaussianNLLLoss,0.001,0.989938080495356,25.918145832262542,2.199164492743356,"tensor(2.1660, device='cuda:0')",5.585799080984933,5.052108446756999,388.10152769088745
anchored_batch,16,2,64,,0.0001,379,Adam,GaussianNLLLoss,0.001,0.9891640866873065,24.011435635687764,2.1409116131918773,"tensor(2.0995, device='cuda:0')",5.22777339390346,4.698404539199102,151.3039093017578
anchored_batch,16,2,64,,1e-06,86,Adam,GaussianNLLLoss,0.001,0.9868421052631579,23.57534955381978,2.147550242287772,"tensor(2.1024, device='cuda:0')",5.355606760297503,4.835673173268636,47.37702679634094
anchored_batch,16,2,128,,0.01,293,Adam,GaussianNLLLoss,0.001,0.9539473684210527,16.521352762039232,1.940439190183367,"tensor(1.9338, device='cuda:0')",4.2222776753561835,4.199620871316819,115.41770672798157
anchored_batch,16,2,128,,0.0001,291,Adam,GaussianNLLLoss,0.001,0.9558823529411765,16.27557460442416,1.9149987413769676,"tensor(1.9009, device='cuda:0')",4.127087456839425,4.074073564438593,116.17426228523254
anchored_batch,16,2,128,,1e-06,91,Adam,GaussianNLLLoss,0.001,0.9566563467492261,16.03989157661934,1.9113929214931669,"tensor(1.8938, device='cuda:0')",4.114435786292667,4.050467457090106,47.02185535430908
anchored_batch,16,2,128,,0.01,1051,Adam,GaussianNLLLoss,0.001,0.9423374613003096,18.11492879767167,2.1224198795500255,"tensor(2.0963, device='cuda:0')",5.134676320212228,5.0443554151625865,371.5910494327545
anchored_batch,16,2,128,,0.0001,293,Adam,GaussianNLLLoss,0.001,0.9280185758513931,16.82342590709958,2.105279632977077,"tensor(2.0826, device='cuda:0')",5.06356650307065,5.011636438823881,118.46752214431763
anchored_batch,16,2,128,,1e-06,49,Adam,GaussianNLLLoss,0.001,0.9171826625386997,16.44177590951831,2.1280337231499806,"tensor(2.1088, device='cuda:0')",5.136005537850516,5.0970718292962935,34.582067012786865
anchored_batch,16,2,128,,0.01,1209,Adam,GaussianNLLLoss,0.001,0.9651702786377709,23.45608076443982,2.509736628759475,"tensor(2.3166, device='cuda:0')",7.558280240921747,7.021211919330415,438.07182717323303
anchored_batch,16,2,128,,0.0001,153,Adam,GaussianNLLLoss,0.001,0.9407894736842105,21.267131297580967,2.42787656329927,"tensor(2.2711, device='cuda:0')",6.896477313268752,6.520520391918364,73.08349943161011
anchored_batch,16,2,128,,1e-06,125,Adam,GaussianNLLLoss,0.001,0.9508513931888545,20.717736873095248,2.3696250801994685,"tensor(2.2276, device='cuda:0')",6.582759175981794,6.216627348036993,63.71263551712036
anchored_batch,16,2,256,,0.01,313,Adam,GaussianNLLLoss,0.001,0.9508513931888545,16.29292590256446,1.9393634455544608,"tensor(1.9341, device='cuda:0')",4.219348827997844,4.20510230745588,126.69041681289673
anchored_batch,16,2,256,,0.0001,62,Adam,GaussianNLLLoss,0.001,0.9558823529411765,16.51244503056671,1.9265152556555611,"tensor(1.9184, device='cuda:0')",4.1726507799966,4.140280882517497,39.96742558479309
anchored_batch,16,2,256,,1e-06,156,Adam,GaussianNLLLoss,0.001,0.9601393188854489,16.39500330402386,1.9067919084003992,"tensor(1.8946, device='cuda:0')",4.109351180848622,4.062052374794369,74.36464762687683
anchored_batch,16,2,256,,0.01,1169,Adam,GaussianNLLLoss,0.001,0.9655572755417957,18.2308081990056,1.9881745065961565,"tensor(1.9617, device='cuda:0')",4.437879630497524,4.304899590356009,432.31367564201355
anchored_batch,16,2,256,,0.0001,601,Adam,GaussianNLLLoss,0.001,0.9531733746130031,16.31191201697193,1.971142780213129,"tensor(1.9430, device='cuda:0')",4.45182322320484,4.358207577750797,222.34606289863586
anchored_batch,16,2,256,,1e-06,13,Adam,GaussianNLLLoss,0.001,0.9531733746130031,16.61282967487725,1.9972493875594366,"tensor(1.9651, device='cuda:0')",4.610370897111439,4.505158197312128,22.63300061225891
